Brood Year,Return Year,FreshwaterAge,OceanAge,RiverSystem,NumberOfReturns
1963,1965,0,1,Igushik,0
1963,1966,0,2,Igushik,0
1963,1967,0,3,Igushik,292
1963,1968,0,4,Igushik,0
1963,1969,0,5,Igushik,0
1963,1966,1,1,Igushik,0
1963,1967,1,2,Igushik,196558
1963,1968,1,3,Igushik,137346
1963,1969,1,4,Igushik,0
1963,1970,1,5,Igushik,0
1963,1967,2,1,Igushik,0
1963,1968,2,2,Igushik,22418
1963,1969,2,3,Igushik,11591
1963,1970,2,4,Igushik,0
1963,1968,3,1,Igushik,0
1963,1969,3,2,Igushik,0
1963,1970,3,3,Igushik,0
1963,1971,3,4,Igushik,0
1964,1966,0,1,Igushik,0
1964,1967,0,2,Igushik,105
1964,1968,0,3,Igushik,507
1964,1969,0,4,Igushik,0
1964,1970,0,5,Igushik,0
1964,1967,1,1,Igushik,0
1964,1968,1,2,Igushik,124313
1964,1969,1,3,Igushik,325005
1964,1970,1,4,Igushik,0
1964,1971,1,5,Igushik,0
1964,1968,2,1,Igushik,261
1964,1969,2,2,Igushik,103991
1964,1970,2,3,Igushik,28877
1964,1971,2,4,Igushik,0
1964,1969,3,1,Igushik,0
1964,1970,3,2,Igushik,0
1964,1971,3,3,Igushik,0
1964,1972,3,4,Igushik,0
1965,1967,0,1,Igushik,0
1965,1968,0,2,Igushik,0
1965,1969,0,3,Igushik,0
1965,1970,0,4,Igushik,0
1965,1971,0,5,Igushik,0
1965,1968,1,1,Igushik,299
1965,1969,1,2,Igushik,319406
1965,1970,1,3,Igushik,270050
1965,1971,1,4,Igushik,0
1965,1972,1,5,Igushik,0
1965,1969,2,1,Igushik,0
1965,1970,2,2,Igushik,168321
1965,1971,2,3,Igushik,52842
1965,1972,2,4,Igushik,0
1965,1970,3,1,Igushik,0
1965,1971,3,2,Igushik,0
1965,1972,3,3,Igushik,0
1965,1973,3,4,Igushik,0
1966,1968,0,1,Igushik,0
1966,1969,0,2,Igushik,0
1966,1970,0,3,Igushik,0
1966,1971,0,4,Igushik,0
1966,1972,0,5,Igushik,0
1966,1969,1,1,Igushik,0
1966,1970,1,2,Igushik,54401
1966,1971,1,3,Igushik,232637
1966,1972,1,4,Igushik,122
1966,1973,1,5,Igushik,0
1966,1970,2,1,Igushik,0
1966,1971,2,2,Igushik,5392
1966,1972,2,3,Igushik,8482
1966,1973,2,4,Igushik,0
1966,1971,3,1,Igushik,0
1966,1972,3,2,Igushik,0
1966,1973,3,3,Igushik,61
1966,1974,3,4,Igushik,0
1967,1969,0,1,Igushik,0
1967,1970,0,2,Igushik,356
1967,1971,0,3,Igushik,430
1967,1972,0,4,Igushik,0
1967,1973,0,5,Igushik,0
1967,1970,1,1,Igushik,0
1967,1971,1,2,Igushik,43479
1967,1972,1,3,Igushik,59861
1967,1973,1,4,Igushik,59
1967,1974,1,5,Igushik,0
1967,1971,2,1,Igushik,0
1967,1972,2,2,Igushik,10884
1967,1973,2,3,Igushik,10676
1967,1974,2,4,Igushik,0
1967,1972,3,1,Igushik,0
1967,1973,3,2,Igushik,0
1967,1974,3,3,Igushik,0
1967,1975,3,4,Igushik,0
1968,1970,0,1,Igushik,0
1968,1971,0,2,Igushik,452
1968,1972,0,3,Igushik,167
1968,1973,0,4,Igushik,31
1968,1974,0,5,Igushik,0
1968,1971,1,1,Igushik,0
1968,1972,1,2,Igushik,48450
1968,1973,1,3,Igushik,101707
1968,1974,1,4,Igushik,888
1968,1975,1,5,Igushik,0
1968,1972,2,1,Igushik,0
1968,1973,2,2,Igushik,513
1968,1974,2,3,Igushik,6715
1968,1975,2,4,Igushik,0
1968,1973,3,1,Igushik,0
1968,1974,3,2,Igushik,0
1968,1975,3,3,Igushik,0
1968,1976,3,4,Igushik,0
1969,1971,0,1,Igushik,0
1969,1972,0,2,Igushik,0
1969,1973,0,3,Igushik,88
1969,1974,0,4,Igushik,0
1969,1975,0,5,Igushik,0
1969,1972,1,1,Igushik,0
