Year,LakeTemp (¼C),Ice Off (Day of Year)
1963,8.76,154
1964,9.09,167
1965,8.19,157
1966,10.6,158
1967,11.32,149
1968,8.86,152
1969,9.09,154
1970,6.97,144
1971,7.53,168
1972,8.28,160
1973,11.14,154
1974,8.86,143
1975,8.39,160
1976,9.57,162
1977,10.76,153
1978,11.41,143
1979,9.2,137
1980,11.31,138
1981,7.82,144
1982,9.08,158
1983,11.34,139
1984,7.79,138
1985,8.45,160
1986,9.33,147
1987,10.47,144
1988,8.31,148
1989,9.23,161
1990,9.15,140
1991,8.61,147
1992,11.63,154
1993,10.35,122
1994,11.44,139
1995,10.54,141
1996,12.55,143
1997,9.85,142
1998,9.16,141
1999,10.65,166
2000,10.37,144
2001,9.97,146
2002,10.97,154
2003,12.34,119
2004,11.61,146
2005,9.87,141
2006,9.69,155
2007,8.91,142
2008,8.86,149
2009,7.98,153
2010,9.04,151
2011,8.7,151
2012,10.19,151
2013,12.87,161
2014,14.61,136
2015,14.46,130
2016,,94
